phone_2,phone_1,by,score,n
æ,ɔː,w_m,1.0,2
ɛə,ʊ,w_m,0.75,12
ɛə,ɪ,w_m,0.666666666667,12
ɛə,ɔː,w_m,1.0,2
ɪ,ʊ,w_m,0.6875,48
ɪ,ɔː,w_m,1.0,8
iː,ʊ,w_m,0.666666666667,12
iː,ɪ,w_m,0.666666666667,12
iː,ɔː,w_m,1.0,2
ɔː,ʊ,w_m,0.375,24
ɔː,ɪ,w_m,1.0,24
ə,ɪ,w_l,0.708333333333,48
ə,ɔː,w_l,1.0,16
ɑː,ə,w_l,0.785714285714,56
ɑː,ɪ,w_l,1.0,6
ɑː,ɔː,w_l,1.0,2
ɛ,ə,w_l,0.660714285714,56
ɛ,ɪ,w_l,1.0,6
ɛ,ɔː,w_l,1.0,2
ɪ,ə,w_l,0.517857142857,168
ɪ,ɔː,w_l,1.0,6
iː,ə,w_l,0.928571428571,56
iː,ɪ,w_l,1.0,6
iː,ɔː,w_l,1.0,2
